,Symbol,Sector,Sub Industry,Name,Market Cap,P 2018,P 2019,change,Index
229,IBM,Information Technology,IT Consulting & Other Services,International Business Machines,142433003505,113.67,134.04,0.1792029559250461,S&P500
230,INCY,Health Care,Biotechnology,Incyte,18220961259,63.59,87.32,0.37317188237144183,S&P500
231,IP,Materials,Paper Packaging,International Paper,24465996443,40.36,46.05,0.14098116947472739,S&P500
232,IPG,Communication Services,Advertising,Interpublic Group,8277363031,20.63,23.1,0.11972855065438703,S&P500
233,IFF,Materials,Specialty Chemicals,Intl Flavors & Fragrances,11270040447,134.27,129.02,-0.039100320250242016,S&P500
234,INTU,Information Technology,Application Software,Intuit Inc.,41233771565,196.85,261.93,0.33060706121412253,S&P500
235,ISRG,Health Care,Health Care Equipment,Intuitive Surgical Inc.,44866621303,478.92,591.15,0.23433976447005755,S&P500
236,IVZ,Financials,Asset Management & Custody Banks,Invesco Ltd.,13620847614,16.74,17.98,0.07407407407407418,S&P500
237,IQV,Health Care,Life Sciences Tools & Services,IQVIA Holdings Inc.,20426488713,116.17,154.51,0.3300335714900575,S&P500
238,IRM,Real Estate,Specialized REITs,Iron Mountain Incorporated,9410249279,32.41,31.87,-0.016661524220919377,S&P500
239,JBHT,Industrials,Trucking,J. B. Hunt Transport Services,12945366350,93.04,116.78,0.2551590713671539,S&P500
240,SJM,Consumer Staples,Packaged Foods & Meats,JM Smucker,13612394896,93.49,104.13,0.11380896352551084,S&P500
241,JNJ,Health Care,Pharmaceuticals,Johnson & Johnson,353062464971,129.05,145.87,0.1303370786516853,S&P500
242,JCI,Industrials,Building Products,Johnson Controls International,34822224800,29.65,40.71,0.37301854974704907,S&P500
243,JPM,Financials,Diversified Banks,JPMorgan Chase & Co.,386613611000,97.62,139.4,0.42798606842860076,S&P500
244,JNPR,Information Technology,Communications Equipment,Juniper Networks,9267350000,26.91,24.63,-0.084726867335563,S&P500
245,KSU,Industrials,Railroads,Kansas City Southern,11037040988,95.45,153.16,0.6046097433211104,S&P500
246,K,Consumer Staples,Packaged Foods & Meats,Kellogg Co.,22182794875,57.01,69.16,0.21312050517453085,S&P500
247,KEY,Financials,Regional Banks,KeyCorp,22589744920,14.78,20.24,0.36941813261163725,S&P500
248,KMB,Consumer Staples,Household Products,Kimberly-Clark,39449596000,113.94,137.55,0.20721432332806744,S&P500
249,KIM,Real Estate,Retail REITs,Kimco Realty,6180487499,14.65,20.71,0.4136518771331059,S&P500
250,KMI,Energy,Oil & Gas Storage & Transportation,Kinder Morgan,38612712234,15.38,21.17,0.3764629388816645,S&P500
251,KLAC,Information Technology,Semiconductor Equipment,KLA-Tencor Corp.,16078622033,89.49,178.17,0.9909487093530003,S&P500
